Y,M,GDP,IP,CPI,PCE,CRB,PPI,EBP,WXR,GS1,GS2,UR,EPR
1973,1,460.5170186,460.5170186,460.5170186,460.5170186,460.5170186,460.5170186,0.022066018,6.5,6.09,6.279,4.9,57.1
1973,2,461.4113845,461.9572178,461.217142,461.0428437,467.6071595,462.4218411,-0.009373142,7.5,6.43,6.597,5,57.5
1973,3,462.0141955,462.0003625,462.1430665,461.7468451,469.4383399,464.752943,-0.102789084,7.38,7.09,6.8679,4.9,57.8
1973,4,462.339626,461.8543069,462.8319364,462.4886535,472.7433333,465.2127147,-0.160196022,7.63,6.8,6.7019,5,57.7
1973,5,462.5219747,462.5144171,463.2885543,462.9787381,480.5573663,467.2559172,-0.061268411,8.13,7.16,6.82,4.9,57.7
1973,6,462.3211801,462.6290866,463.9696049,463.5510042,483.8693189,469.4782345,0.044557393,8.88,7.74,7.0981,4.9,58
1973,7,461.9690418,463.0048245,463.9696049,463.9138572,496.5292524,468.1507792,-0.326373188,11.22,8.87,8.0664,4.8,57.9
1973,8,461.6640594,462.8622322,465.7633785,465.0570611,500.0047974,473.779971,-0.181771927,11.22,8.47,7.6208,4.8,57.8
1973,9,461.9596541,463.646641,466.2068344,465.455979,496.4779835,472.0814225,-0.349992411,10.82,7.5,6.8676,4.8,57.9
1973,10,462.6615258,464.450022,467.0878991,466.0184085,492.5559122,471.2212007,0.151261936,10.61,7.21,6.751,4.6,58.1
1973,11,463.0733302,464.9119509,467.7436427,466.8357075,494.9796346,471.6522366,0.07550975,10.34,7.28,6.8125,4.8,58.2
1973,12,462.6812384,464.6271725,468.6113196,467.6545005,501.9656445,473.5692268,0.023236025,9.83,7.3,6.7885,4.9,58.2
1974,1,462.1223855,463.9618375,469.6854436,468.6073907,507.3979127,476.8890304,-0.023526579,9.31,7.12,6.7347,5.1,58.2
1974,2,461.7916164,463.666207,470.7481528,469.766012,516.9498271,478.9093043,0.167358559,8.87,7.16,6.815,5.2,58.2
1974,3,461.9075584,463.6664202,471.799687,470.9192216,514.281873,480.1021633,-0.087488845,9.95,8.36,7.7276,5.1,58.2
1974,4,462.1298694,463.3743163,472.4253443,471.623524,512.7247481,480.889562,0.066267478,11,8.99,8.3138,5.1,58
1974,5,462.3754351,464.1682909,473.4594795,472.6051617,507.1216694,482.4460162,0.075473141,11.64,8.71,8.0729,5.1,58
1974,6,462.0254996,463.9819988,474.2791578,473.4471695,511.6289668,482.8313737,0.666169254,13.31,8.87,8.3018,5.4,58
1974,7,461.4968083,464.1577908,474.8895308,474.1833768,521.2841114,486.6054048,1.213343806,12.06,9,8.5251,5.5,58
1974,8,461.0800648,463.094397,476.0992297,475.2231078,515.6882461,490.0634399,0.807879986,11.6,9.73,8.7922,5.5,57.8
1974,9,461.094084,463.1085465,477.4922834,476.2558562,512.8118941,490.0634399,0.897554439,11.11,8.21,7.9713,5.9,57.7
1974,10,461.2812131,462.7964021,478.2796906,476.9717462,512.3754028,491.8365388,1.058876065,9.66,7.93,7.7712,6,57.6
1974,11,460.9756137,459.4476916,479.2553079,477.7192386,510.0296435,492.7114328,1.000901374,9.47,7.66,7.4012,6.6,57.3
1974,12,460.2423743,455.8042834,480.0290077,478.5048761,502.8837471,492.5370609,1.161032478,3.87,7.35,7.1538,7.2,56.9
1975,1,459.9170579,454.4148248,480.7967673,479.1253575,500.4986255,492.7114328,0.40141818,6.76,6.36,6.67,8.1,56.4
1975,2,459.5491471,452.107517,481.3687372,479.6664791,498.5085101,492.3623917,0.40464313,6.07,6.01,6.2788,8.1,56.1
1975,3,459.3504504,450.9924894,481.7482491,480.0041004,499.4089664,491.8365388,0.586769244,5.39,6.36,6.7571,8.6,56
1975,4,459.8236144,451.1747134,482.126318,480.3441615,498.4582462,492.8854939,0.2240177,7.03,6.88,7.412,8.8,55.9
1975,5,460.2948284,450.8933807,482.3148179,480.7400329,495.187643,493.5787387,0.339801202,5.23,6.08,6.7811,9,56
1975,6,460.8277867,451.5376651,483.0652919,481.3645239,493.8277894,493.7513051,0.236157756,5.97,6.85,7.1349,8.8,55.8
